code;omschrijving
0809;Loon op Zand
0810;Luyksgestel
0811;Maarheeze
0812;Made en Drimmelen
0813;Megen, Haren en Macharen
0814;Mierlo
0815;Mill en Sint Hubert
0816;Moergestel
0817;Nieuw-Ginneken
0818;Nieuw-Vossemeer
0819;Nistelrode
0820;Nuenen, Gerwen en Nederwetten
0821;Nuland
0822;Oeffelt
0823;Oirschot
0824;Oisterwijk
0825;Oost-, West- en Middelbeers
0826;Oosterhout
0827;Oploo, St. Anthonis en Ledeacker
0828;Oss
0829;Ossendrecht
0830;Oudenbosch
0831;Oud en Nieuw Gastel
0832;Prinsenbeek
0833;Putte
0834;Raamsdonk
0835;Ravenstein
0836;Reusel
0837;Riethoven
0838;Roosendaal en Nispen
0839;Rosmalen
0840;Rucphen
0841;Rijsbergen
0842;Rijswijk (NB)
0843;Schaijk
0844;Schijndel
0845;Sint-Michielsgestel
0846;Sint-Oedenrode
0847;Someren
0848;Son en Breugel
0849;Sprang-Capelle
0850;Standdaarbuiten
0851;Steenbergen
0852;Waterland
0853;Terheijden
0854;Teteringen
0855;Tilburg
0856;Uden
0857;Udenhout
0858;Valkenswaard
0859;Veen
0860;Veghel
0861;Veldhoven
0862;Vessem, Wintelre en Knegsel
0863;Vierlingsbeek
0864;Vlijmen
0865;Vught
0866;Waalre
0867;Waalwijk
0868;Wanroij
0869;Waspik
0870;Werkendam
0871;Westerhoven
0872;Willemstad
0873;Woensdrecht
0874;Woudrichem
0875;Wouw
0876;Wijk en Aalburg
0877;Zeeland
0878;Zevenbergen
0879;Zundert
0880;Wormerland
0881;Onderbanken
0882;Landgraaf
0883;Amby
0884;Amstenrade
0885;Arcen en Velden
0886;Baexem
0887;Beegden
0888;Beek
0889;Beesel
0890;Belfeld
0891;Bemelen
0892;Berg en Terblijt
0893;Bergen (L)
0894;Bingelrade
0895;Bocholtz
0896;Borgharen
0897;Born
0898;Broekhuizen
0899;Brunssum
0900;Bunde
0901;Cadier en Keer
0902;Echt
0903;Elsloo
0904;Eygelshoven
0905;Eijsden
0906;Geleen
0907;Gennep
0908;Geulle
0909;Grathem
0910;Grevenbicht
0911;Gronsveld
0912;Grubbenvorst
0913;Gulpen
0914;Haelen
0915;Heel en Panheel
0916;Heer
0917;Heerlen
0918;Helden
0919;Herten
0920;Heythuysen
0921;Hoensbroek
0922;Horn
0923;Horst
0924;Hulsberg
0925;Hunsel
0926;Itteren
0927;Jabeek
0928;Kerkrade
0929;Kessel
0930;Klimmen
0931;Limbricht
0932;Linne
0933;Maasbracht
0934;Maasbree
0935;Maastricht
0936;Margraten
0937;Meerlo
0938;Meerssen
0939;Melick en Herkenbosch
0940;Merkelbeek
0941;Meijel
0942;Mheer
0943;Montfort
0944;Mook en Middelaar
0945;Munstergeleen
0946;Nederweert
0947;Neer
0948;Nieuwenhagen
0949;Nieuwstadt
0950;Noorbeek
0951;Nuth
0952;Obbicht en Papenhoven
0953;Ohé en Laak
0954;Oirsbeek
0955;Ottersum
0956;Posterholt
0957;Roermond
0958;Roggel
0959;Roosteren
0960;Schaesberg
0961;Schimmert
0962;Schinnen
0963;Schinveld
0964;Sevenum
0965;Simpelveld
0966;Sint Geertruid
0967;Sint Odiliënberg
0968;Sittard
0969;Slenaken
0970;Spaubeek
0971;Stein
0972;Stevensweert
0973;Stramproy
0974;Susteren
0975;Swalmen
0976;Tegelen
0977;Thorn
0978;Ubach over Worms
0979;Ulestraten
0980;Urmond
0981;Vaals
0982;Valkenburg-Houthem
0983;Venlo
0984;Venray
0985;Vlodrop
0986;Voerendaal
0987;Wanssum
0988;Weert
0989;Wessem
0990;Wittem
0991;Wijlre
0992;Wijnandsrade
0993;Meerlo-Wanssum
0994;Valkenburg aan de Geul
0995;Lelystad
0996;Zuidelijke IJsselmeerpolders
0997;Centraal Persoonsregister (Niet GBA)
0998;Buitenland (Niet GBA)
0999;Onbekend (Niet GBA)
1000;Aagtekerke
1001;Aalst
1002;Aarlanderveen
1003;Abcoude-Baambrugge
1004;Abcoude-Proostdij
1005;Achttienhoven
1006;Aengwirden
1007;Alem, Maren en Kessel
1008;Alphen
1009;Ambt-Almelo
1010;Ambt-Doetinchem
1011;Ambt-Hardenberg
1012;Ambt-Ommen
1013;Ambt-Vollenhove
1014;Ankeveen
1015;Baardwijk
1016;Balgoij
1017;Barwoutswaarder
1018;Bath
1019;Bellingwolde
1020;Besoijen
1021;Beugen en Rijkevoort
1022;Biggekerke
1023;Bokhoven
1024;Den Bommel
1025;Bommenede
1026;Borkel en Schaft
1027;Boschkapelle
1028;Breukelen-Nijenrode
1029;Breukelen-Sint Pieters
1030;Broek
1031;Broek op Langendijk
1032;Broeksittard
1033;Buggenum
1034;Buiksloot
1035;Burgh
1036;Capelle
1037;Charlois
1038;Colijnsplaat
1039;Cromvoirt
1040;Delfshaven
1041;Deurne en Liessel
1042;Deursen en Dennenburg
1043;Dieden, Demen en Langel
1044;Dinther
1045;Dommelen
1046;Doorwerth
1047;Dreischor
1048;Driebergen
1049;Drongelen
1050;Duivendijke
1051;Duizel en Steensel
1052;Eede
1053;Elkerzee
1054;Ellemeet
1055;Elten
1056;Emmikhoven en Waardhuizen
1057;Escharen
1058;Gameren
1059;Gassel
1060;Genderen
1061;Gestel en Blaarthem
1062;Giessen-Nieuwkerk
1063;Giessendam
1064;Ginneken en Bavel
1065;Grafhorst
1066;Groote Lindt
1067;Grijpskerke
1068;Haamstede
1069;Haarzuilens
1070;Hardinxveld
1071;Hedikhuizen
1072;Heeswijk
1073;Heille
1074;Hekelingen
1075;Hekendorp
1076;Hemmen
1077;Hengstdijk
1078;Herkingen
1079;Herpen
1080;Herpt
1081;Hillegersberg
1082;Hof van Delft
1083;Hoogezand
1084;Hoogkerk
1085;Hoogvliet
1086;Houthem
1087;Houtrijk en Polanen
1088;Huisseling en Neerloon
1089;Hurwenen
1090;Ittervoort
1091;Jaarsveld
1092;Kamperveen
1093;Katendrecht
1094;Kats
1095;Kerkwerve
1096;Kethel en Spaland
1097;Kortenhoef
1098;Koudekerke
1099;Kralingen
1100;Laag-Nieuwkoop
1101;Lange Ruige Weide
1102;Lierop
1103;Linden
1104;Lithoijen
1105;Loenersloot
1106;Lonneker
1107;Loosduinen
1108;Maarsseveen
1109;Maashees en Overloon
1110;Maasniel
1111;Meeuwen
1112;Meliskerke
1113;Melissant
1114;Mesch
1115;Nederhemert
1116;Neeritter
1117;Nieuw- en Sint Joosland
1118;Nieuw-Helvoet
1119;Nieuwe Tonge
1120;Nieuwendam
1121;Nieuwenhoorn
1122;Nieuwerkerk
1123;Nieuwkuijk
1124;Noord-Scharwoude
1125;Noord-Waddinxveen
1126;Noordbroek
1127;Noorddijk
1128;Noordgouwe
1129;Noordwelle
1130;Nunhem
1131;Odijk
1132;Oerle
1133;Ooltgensplaat
1134;Oost- en West-Barendrecht
1135;Oost- en West-Souburg
1136;Oosterland
1137;Oostkapelle
1138;Ossenisse
1139;Oud- en Nieuw-Mathenesse
1140;Oud-Valkenburg
1141;Oud-Vroenhoven
1142;Ouddorp
1143;Oude-Tonge
1144;Oudenrijn
1145;Oudheusden
1146;Oudkarspel
1147;Oudshoorn
1148;Ouwerkerk
1149;Overschie
1150;Oijen en Teeffelen
1151;Papekop
1152;Pernis
1153;Petten
1154;Peursum
1155;Poederoijen
1156;Princenhage
1157;Ransdorp
1158;Reek
1159;Renesse
1160;Rietveld
1161;Rilland
1162;Rimburg
1163;Ritthem
1164;Ruwiel
1165;Rijckholt
1166;Rijsenburg
1167;Sambeek
1168;Sappemeer
1169;Schalkwijk
1170;Schiebroek
1171;Schin op Geul
1172;Schore
1173;Schoten
1174;Schoterland
1175;Serooskerke (Schouwen)
1176;Serooskerke (Walcheren)
1177;St. Anna ter Muiden
1178;Sint Kruis
1179;Sint Laurens
1180;Sint Pieter
1181;Sloten (NH)
1182;Sluipwijk
1183;Soerendonk, Sterksel en Gastel
1184;Sommelsdijk
1185;Spaarndam
1186;Spanbroek
1187;Sprang
1188;Stad aan 't Haringvliet
1189;Stad-Almelo
1190;Stad-Doetinchem
1191;Stad-Hardenberg
1192;Stad-Ommen
1193;Stad-Vollenhove
1194;Stein (ZH)
1195;Stellendam
1196;Stiphout
1197;Stompwijk
1198;Stoppeldijk
1199;Stratum
1200;Strucht
1201;Strijp
1202;Tienhoven (U)
1203;Tongelre
1204;Tudderen
1205;Tull en 't Waal
1206;Veldhoven en Meerveldhoven
1207;Veldhuizen
1208;Velp
1209;Veur
1210;Vlaardinger-Ambacht
1211;Vleuten
1212;Vlierden
1213;Vreeland
1214;Vrouwenpolder
1215;Vrijenban
1216;Vrijhoeve-Capelle
1217;Waarder
1218;Wadenoijen
1219;Watergraafsmeer
1220;Wedde
1221;Weesperkarspel
1222;de Werken en Sleeuwijk
1223;Werkhoven
1224;Westbroek
1225;Wildervank
1226;Willige-Langerak
1227;Wilsum
1228;Woensel
1229;Wijk aan Zee en Duin
1230;IJsselmonde
1231;IJzendoorn
1232;Zalk en Veecaten
1233;Zeelst
1234;Zegwaart
1235;Zesgehuchten
1236;Zonnemaire
1237;Zoutelande
1238;Zuid-Scharwoude
1239;Zuid-Waddinxveen
1240;Zuidbroek
1241;Zuidschalkwijk
1242;Zuilen
1243;Zuilichem
1244;Zwammerdam
1245;Zwollerkerspel
1246;Bangert
1247;Beek (NB)
1248;Driel
1249;Nieuwer-Amstel
1250;Onstwedde
1251;Etten en Leur
1252;Valkenburg (L)
1253;Wissekerke
1254;Borssele
1255;Eethen, Genderen en Heesbeen
1256;Koudekerk
1257;Staveren
1258;Rijsoort en Strevelshoek
1259;Millingen
1260;Hemelumer Oldephaert en Noordwolde
1261;Simonshaven
1262;Bleskensgraaf
1263;Drongelen, Hangoort,Gansoyen en Doeveren
1264;Dussen, Munster en Muilkerk
1265;Meeuwen, Hill en Babyloniënbroek
1301;Abtsregt
1302;Achthoven
1303;Achttienhoven (bij Nieuwkoop)
1304;Ackersdijk en Vrouwenregt
1305;Benthorn
1306;Berkenrode
1307;Biert
1308;Biesland
1309;Bijlmermeer
1310;Cabauw
1311;Cillaarshoek
1312;Darthuizen
1313;Dorth
1314;Duist
1315;Edam
1316;Etersheim
1317;Gapinge
1318;Gerverscop
1319;Goidschalxoord
1320;'s-Gravenambacht
1321;'s-Gravesloot
1322;Groeneveld
1323;Groet
1324;Grosthuizen
1325;Haarlemmerliede
1326;'s Heer Hendriks Kinderen
1327;Heer Oudelands Ambacht
1328;Hodenpijl
1329;Hofwegen
1330;Hoog en Woud Harnasch
1331;Hoogeveen in Delfland
1332;Hoogeveen in Rijnland
1333;Hoogmade
1334;Kalslagen
1335;Kamerik Houtdijken
1336;Kamerik Mijzijde
1337;Kijfhoek
1338;Kleine Lindt
1339;Kleverskerke
1340;Laagblokland
1341;Loenen en Wolveren
1342;Maarssenbroek
1343;Meerdervoort
1344;Middelburg (ZH)
1345;De Mijl
1346;Naters
1347;Nederslingelandt
1348;Nieuwland, Kortland en 's-Graveland
1349;Nieuwveen in Delfland
1350;Noord-Polsbroek
1351;Onwaard
1352;Oost-Barendrecht
1353;Oost-Souburg
1355;Oud-Wulven
1356;Oude en Nieuwe Struiten
1357;Oudhuizen
1358;Oukoop
1359;Portengen
1360;Rhijnauwen
1361;Rietwijkeroord
1362;Rijsoort
1363;Roxenisse
1364;Ruijven
1365;Sandelingen-Ambacht
1366;Schardam
1367;Scharwoude
1368;Schellingwoude
1369;Schokland
1370;Schonauwen
1371;Schuddebeurs en Simonshaven
1372;Sint Anthonypolder
1373;St. Maartensregt
1374;Spaarnwoude
1375;Spijk
1376;Steenbergen en Kruisland
1377;Sterkenburg
1378;Stormpolder
1380;Strevelshoek
